1 1.4422495703074083 [4.20680761 2.21324163 0.        ]
1 1.4422495703074083 [4.17499253 2.25147159 0.        ]
1 1.4422495703074083 [4.14264973 2.28923486 0.        ]
1 1.4422495703074083 [4.10978663 2.32652415 0.        ]
1 1.4422495703074083 [4.07641073 2.36333226 0.        ]
1 1.4422495703074083 [4.04252964 2.39965215 0.        ]
1 1.4422495703074083 [4.00815107 2.43547692 0.        ]
1 1.4422495703074083 [3.97328282 2.47079979 0.        ]
1 1.4422495703074083 [3.93793279 2.50561412 0.        ]
1 1.4422495703074083 [3.90210895 2.5399134  0.        ]
1 1.4422495703074083 [3.86581937 2.57369127 0.        ]
1 1.4422495703074083 [3.82907222 2.60694151 0.        ]
1 1.4422495703074083 [3.79187572 2.63965802 0.        ]
1 1.4422495703074083 [3.75423819 2.67183487 0.        ]
1 1.4422495703074083 [3.71616803 2.70346626 0.        ]
1 1.4422495703074083 [3.67767369 2.73454652 0.        ]
1 1.4422495703074083 [3.63876371 2.76507014 0.        ]
1 1.4422495703074083 [3.59944669 2.79503176 0.        ]
1 1.4422495703074083 [3.5597313  2.82442615 0.        ]
1 1.4422495703074083 [3.51962627 2.85324823 0.        ]
1 1.4422495703074083 [3.47914038 2.88149308 0.        ]
1 1.4422495703074083 [3.43828248 2.9091559  0.        ]
1 1.4422495703074083 [3.39706147 2.93623207 0.        ]
1 1.4422495703074083 [3.3554863 2.9627171 0.       ]
1 1.4422495703074083 [3.31356596 2.98860665 0.        ]
1 1.4422495703074083 [3.2713095  3.01389652 0.        ]
1 1.4422495703074083 [3.228726   3.03858268 0.        ]
1 1.4422495703074083 [3.18582459 3.06266123 0.        ]
1 1.4422495703074083 [3.14261443 3.08612842 0.        ]
1 1.4422495703074083 [3.09910473 3.10898067 0.        ]
1 1.4422495703074083 [3.0553047  3.13121452 0.        ]
1 1.4422495703074083 [3.01122362 3.15282668 0.        ]
1 1.4422495703074083 [2.96687076 3.17381401 0.        ]
1 1.4422495703074083 [2.92225543 3.19417349 0.        ]
1 1.4422495703074083 [2.87738698 3.21390228 0.        ]
1 1.4422495703074083 [2.83227474 3.23299767 0.        ]
1 1.4422495703074083 [2.78692808 3.25145712 0.        ]
1 1.4422495703074083 [2.74135638 3.2692782  0.        ]
1 1.4422495703074083 [2.69556905 3.28645867 0.        ]
1 1.4422495703074083 [2.64957546 3.3029964  0.        ]
1 1.4422495703074083 [2.60338504 3.31888943 0.        ]
1 1.4422495703074083 [2.55700719 3.33413592 0.        ]
1 1.4422495703074083 [2.51045132 3.34873422 0.        ]
1 1.4422495703074083 [2.46372685 3.36268277 0.        ]
1 1.4422495703074083 [2.41684318 3.37598019 0.        ]
1 1.4422495703074083 [2.36980972 3.38862523 0.        ]
1 1.4422495703074083 [2.32263585 3.40061678 0.        ]
1 1.4422495703074083 [2.27533097 3.41195388 0.        ]
1 1.4422495703074083 [2.22790444 3.4226357  0.        ]
1 1.4422495703074083 [2.18036562 3.43266156 0.        ]
1 1.4422495703074083 [2.13272385 3.4420309  0.        ]
1 1.4422495703074083 [2.08498846 3.45074333 0.        ]
1 1.4422495703074083 [2.03716874 3.45879857 0.        ]
1 1.4422495703074083 [1.98927397 3.46619647 0.        ]
1 1.4422495703074083 [1.9413134  3.47293704 0.        ]
1 1.4422495703074083 [1.89329627 3.47902041 0.        ]
1 1.4422495703074083 [1.84523176 3.48444683 0.        ]
1 1.4422495703074083 [1.79712904 3.48921671 0.        ]
1 1.4422495703074083 [1.74899724 3.49333057 0.        ]
1 1.4422495703074083 [1.70084547 3.49678905 0.        ]
1 1.4422495703074083 [1.65268278 3.49959295 0.        ]
1 1.4422495703074083 [1.6045182  3.50174317 0.        ]
1 1.4422495703074083 [1.55636071 3.50324073 0.        ]
1 1.4422495703074083 [1.50821925 3.5040868  0.        ]
1 1.4422495703074083 [1.46010273 3.50428265 0.        ]
1 1.4422495703074083 [1.41202    3.50382969 0.        ]
1 1.4422495703074083 [1.36397985 3.50272944 0.        ]
1 1.4422495703074083 [1.31599107 3.50098352 0.        ]
1 1.4422495703074083 [1.26806234 3.49859371 0.        ]
1 1.4422495703074083 [1.22020234 3.49556187 0.        ]
1 1.4422495703074083 [1.17241966 3.49188998 0.        ]
1 1.4422495703074083 [1.12472287 3.48758016 0.        ]
1 1.4422495703074083 [1.07712045 3.4826346  0.        ]
1 1.4422495703074083 [1.02962085 3.47705563 0.        ]
1 1.4422495703074083 [0.98223245 3.47084569 0.        ]
1 1.4422495703074083 [0.93496357 3.4640073  0.        ]
1 1.4422495703074083 [0.88782248 3.45654312 0.        ]
1 1.4422495703074083 [0.84081737 3.4484559  0.        ]
1 1.4422495703074083 [0.79395639 3.43974847 0.        ]
1 1.4422495703074083 [0.74724762 3.43042381 0.        ]
1 1.4422495703074083 [0.70069905 3.42048495 0.        ]
1 1.4422495703074083 [0.65431863 3.40993506 0.        ]
1 1.4422495703074083 [0.60811425 3.39877739 0.        ]
1 1.4422495703074083 [0.5620937  3.38701527 0.        ]
1 1.4422495703074083 [0.51626473 3.37465215 0.        ]
